"","accepted_binomial","pf1","a","b","c","Topt","Logit.Max","Model.Max","Topt.upp","Topt.low","Tmax","Tmin","Tbreadth","Toptbreadth","SEmax","SEmin","SEopt.upp","SEopt.low","SEopt","SEbreadth","SEoptbreadth","Family","clade5","Tmean_count","Af1","Af7"
"76","Bromus tectorum",1,-0.162073728916994,2.79867360122273,16.4561268524902,8.6339520288821,28.537933661218,0.999999999999596,21.2002826934609,-3.93237863569673,22.5712124630973,-5.30330840533309,27.8745208684304,25.1326613291577,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,1,0
"77","Buphthalmum salicifolium",1,-0.011285126796691,0.426399056963955,-1.9618991471388,18.8920809063919,2.06588359414732,0.887542755426696,24.7246756640528,13.059486148731,39.9628128508474,-2.17865103806356,42.1414638889109,11.6651895153218,NA,NA,NA,NA,NA,NA,NA,"Asteraceae","Asterids",6,1,1
"78","Cakile maritima",1,0.00499337482130012,-0.128149678323349,1.06595715365268,12.8319706520632,0.243750697994407,0.560637741776934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97255753902519,NA,NA,"Brassicaceae","Rosids",8,0,1
"79","Calamagrostis arenaria",1,0.0117207597029087,-0.310868277093762,0.685453852300276,13.2614388902033,-1.37582647749058,0.201680122236094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22772541143779,NA,NA,"Poaceae","Monocots",6,0,1
"80","Calendula arvensis",1,-0.00631157443499691,0.225816166102939,-1.30356397653043,17.8890519654506,0.716254588496716,0.671781719342551,22.7433351435072,13.034768787394,41.9721766352231,-6.19407270432187,48.166249339545,9.7085663561132,NA,NA,NA,NA,NA,NA,NA,"Asteraceae","Asterids",7,1,1
"81","Calicotome villosa",1,0.0224295839129271,-0.64294948903821,3.42575091543017,14.3326218518849,-1.18182503269348,0.234724209186394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.0990409617091,NA,NA,"Fabaceae","Rosids",4,0,0
"82","Calluna vulgaris",1,-0.0291526885101771,1.05711654928534,-8.67791385508705,18.1306871391348,0.905210857260137,0.71201915717915,20.530199656436,15.7311746218337,29.6220438958598,6.63933038240984,22.98271351345,4.79902503460232,1.54357126059688,3.18649577094029,3.86947162575566,4.30985457189118,1.30538554440574,4.27277537337832,7.76396731758873,"Ericaceae","Asterids",9,1,1
"83","Calystegia soldanella",1,-0.025363365855686,0.938779283103854,-5.76313863105876,18.5065990146059,2.92366724675234,0.949004069276242,23.7939376811756,13.2192603480361,33.7171708099781,3.29602721923363,30.4211435907445,10.5746773331395,4.0622770540332,2.49503665570376,5.10903179497542,5.66599184545934,1.61848934495492,5.91409963689568,10.2923907772117,"Convolvulaceae","Asterids",8,1,1
"84","Campanula rotundifolia",1,0.0239478488881842,-0.916967774429183,9.69010584977463,19.1450968876293,0.912387407634373,0.713488451662656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86140309047963,NA,NA,"Campanulaceae","Asterids",5,0,1
"85","Campanula spatulata",1,-0.0159874519912473,0.329918063101215,0.783988801306447,10.3180313936779,2.48604126751632,0.923157448985811,16.0305835733885,4.6054792139672,28.7482078144616,-8.11214502710585,36.8603528415674,11.4251043594213,NA,NA,NA,NA,NA,NA,NA,"Campanulaceae","Asterids",3,1,0
