,Accepted binomial,Family,Clade,Risk category,DormancyShort,Topt,Topt.upp,Topt.low,Toptbreadth,SEopt,SEoptbreadth,Conservation interest,Restoration relevance
94,Pancratium maritimum,Amaryllidaceae,Monocots,Thermally resilient,M(P)D,18.32704655,23.77685976,12.87723334,10.89962642,1.158151057,8.701681793,0,0
95,Petrorhagia prolifera,Caryophyllaceae,Caryophyllales,Thermally resilient,NoInfo,17.15675593,22.69942436,11.6140875,11.08533685,1.201520915,1.152561255,0,0
96,Petrosedum rupestre,Crassulaceae,Rosids,Cold-wide,NoInfo,16.82394357,21.69554166,11.95234549,9.74319617,0.353120099,3.451983344,0,0
97,Phillyrea angustifolia,Oleaceae,Asterids,Warm-narrow,PD,18.48228815,20.42367845,16.54089785,3.882780607,1.863367535,13.57451681,0,0
98,Phillyrea latifolia,Oleaceae,Asterids,High,PD,14.2586539,15.63295019,12.88435762,2.748592573,0.711218941,2.718599825,0,0
99,Phleum alpinum,Poaceae,Monocots,Thermally resilient,PD,17.86237322,24.19048326,11.53426318,12.65622008,0.408609102,2.070734027,0,1
100,Phleum pratense,Poaceae,Monocots,Cold-wide,PD,16.23215101,25.69186983,6.772432181,18.91943765,1.075320539,4.095735875,0,1
101,Phragmites australis,Poaceae,Monocots,Warm-narrow,PD,19.12539048,20.62614782,17.62463314,3.001514678,NA,NA,0,0
102,Phyteuma hemisphaericum,Campanulaceae,Asterids,High,PD,11.53249854,14.67315285,8.391844239,6.281308612,NA,NA,0,1
103,Pilosella officinarum,Asteraceae,Asterids,Cold-wide,NoInfo,14.54813369,19.1823781,9.91388928,9.268488817,NA,NA,0,1
104,Pilosella vahlii,Asteraceae,Asterids,High,NoInfo,14.78471547,18.46988002,11.09955093,7.370329089,3.747791709,9.793486889,0,0
105,Plantago lanceolata,Plantaginaceae,Asterids,Thermally resilient,PD,19.65010343,23.89196143,15.40824543,8.483715997,0.831437133,4.877388021,0,1
106,Poa alpina,Poaceae,Monocots,Thermally resilient,PD,17.76654464,29.80015882,5.732930458,24.06722837,0.896360217,6.79794372,0,1
107,Poa nemoralis,Poaceae,Monocots,Warm-narrow,PD,18.75209038,20.21412773,17.29005303,2.924074694,NA,NA,0,1
108,Poa trivialis,Poaceae,Monocots,High,PD,16.95436533,20.08993181,13.81879885,6.271132966,0.67004485,5.167530975,0,1
109,Potentilla reptans,Rosaceae,Rosids,Warm-narrow,PD,17.75741429,18.80802459,16.70680399,2.101220602,NA,NA,0,1
110,Primula veris,Primulaceae,Asterids,High,PD,14.93239242,16.4059057,13.45887915,2.947026552,NA,NA,0,1
111,Prunus avium,Rosaceae,Rosids,High,PD,6.893081068,8.852582167,4.93357997,3.919002197,0.596215083,8.785859213,0,0
112,Prunus spinosa,Rosaceae,Rosids,Warm-narrow,PD,18.90379593,20.51627376,17.2913181,3.22495566,NA,NA,0,0
113,Pulicaria dysenterica,Asteraceae,Asterids,Thermally resilient,PD,23.6600074,29.19937813,18.12063667,11.07874146,NA,NA,0,0
114,Rhamnus alaternus,Rhamnaceae,Rosids,High,PD,14.05930016,15.70451162,12.4140887,3.290422919,0.310046379,2.099319668,0,0
115,Roemeria sicula,Papaveraceae,EarlyEU,High,NoInfo,14.01327568,14.94113956,13.08541179,1.855727769,0.6826649,6.900489431,0,0
116,Rubus idaeus,Rosaceae,Rosids,Thermally resilient,PD,25.40093416,30.29270863,20.50915969,9.783548936,8.484458171,27.80864745,0,1
117,Rumex acetosella,Polygonaceae,Caryophyllales,High,PD,16.85905162,19.87597754,13.8421257,6.033851838,2.329491419,45.42713173,0,1
118,Rumex suffruticosus,Polygonaceae,Caryophyllales,Warm-narrow,PD,21.05281692,24.04016314,18.0654707,5.974692442,NA,NA,0,0
119,Sabulina verna,Caryophyllaceae,Caryophyllales,Cold-wide,NoInfo,9.343013408,19.89703157,-1.211004757,21.10803633,3.504483767,16.77223405,0,1
120,Sanguisorba minor,Rosaceae,Rosids,Thermally resilient,PD,19.84860816,26.43468455,13.26253177,13.17215278,NA,NA,0,1
121,Sarcopoterium spinosum,Rosaceae,Rosids,Warm-narrow,PD,17.09537721,19.51337228,14.67738215,4.835990127,0.651592804,7.944185409,0,0
122,Schoenus nigricans,Cyperaceae,Monocots,Warm-narrow,PD,20.9136293,23.43893425,18.38832434,5.050609911,NA,NA,0,0
123,Scorpiurus muricatus,Fabaceae,Rosids,Thermally resilient,PY(PD),19.51170929,24.53875412,14.48466445,10.05408968,0.851562064,18.1015605,0,0
124,Sesleria caerulea,Poaceae,Monocots,Cold-wide,NoInfo,16.07211049,20.30766169,11.83655929,8.471102394,4.176710113,7.113788598,0,1
125,Silene ciliata,Caryophyllaceae,Caryophyllales,Warm-narrow,PD,20.44972309,24.27578924,16.62365695,7.652132286,3.614376694,19.16444901,0,1
126,Silene colorata,Caryophyllaceae,Caryophyllales,Thermally resilient,PD,19.85293042,24.19706139,15.50879946,8.688261936,2.706905007,14.79534947,0,0
127,Silene flos-cuculi,Caryophyllaceae,Caryophyllales,Thermally resilient,PD,20.33720751,25.11638092,15.55803411,9.558346817,0.789927991,4.831192802,0,1
128,Silene gallica,Caryophyllaceae,Caryophyllales,High,PD,16.95673104,20.34722859,13.56623348,6.780995108,1.062907288,2.430049338,0,0
129,Thinopyrum junceum,Poaceae,Monocots,Cold-wide,NoInfo,11.83248919,21.89967892,1.765299473,20.13437944,NA,NA,0,0
130,Thymus praecox,Lamiaceae,Asterids,Thermally resilient,ND,18.24273442,22.54390555,13.9415633,8.602342245,0.644921938,4.36034286,0,1
131,Tolpis barbata,Asteraceae,Asterids,Cold-wide,NoInfo,11.8655102,19.25342794,4.477592458,14.77583548,NA,NA,0,0
132,Trifolium dubium,Fabaceae,Rosids,Cold-wide,PY(PD),16.78173332,21.32639587,12.23707077,9.089325091,NA,NA,0,1
133,Trifolium fragiferum,Fabaceae,Rosids,Thermally resilient,PY(PD),17.52382094,22.42661869,12.62102318,9.805595506,NA,NA,0,1
134,Trifolium repens,Fabaceae,Rosids,Cold-wide,PY(PD),16.35451691,23.59091767,9.11811615,14.47280152,1.348598294,3.959261204,0,1
135,Tripolium pannonicum,Asteraceae,Asterids,Warm-narrow,PD,17.62602176,19.49003243,15.76201109,3.728021343,NA,NA,0,0
136,Trocdaris verticillata,Apiaceae,Asterids,High,NoInfo,13.23579931,16.69721082,9.774387797,6.922823024,NA,NA,0,1
137,Urtica dioica,Urticaceae,Rosids,Thermally resilient,PD,22.63604638,27.81134599,17.46074677,10.35059922,7.068320251,15.11341392,0,1
138,Veronica officinalis,Plantaginaceae,Asterids,Warm-narrow,PD,17.24621288,19.69246167,14.79996409,4.892497582,0.672566701,6.611543054,0,1
139,Viburnum lantana,Viburnaceae,Asterids,High,M(P)D,13.93443196,15.36653668,12.50232724,2.864209435,1.301716434,20.44535369,0,0
140,Vitis vinifera,Vitaceae,Rosids,Warm-narrow,M(P)D,20.13307251,23.69982811,16.5663169,7.133511207,3.786312173,10.26033968,0,0
